epochs,<10,<20,<40,<180
1,0.08486562942008487,0.9335219236209336,3.4512022630834513,22.82885431400283
1001,0.36775106082036774,2.1782178217821784,8.288543140028288,44.44130127298444
2001,0.7072135785007072,3.5077793493635077,12.164073550212164,49.44837340876945
3001,0.4526166902404526,3.7906647807637905,13.125884016973126,61.75388967468175
4001,0.8486562942008486,5.063649222065064,16.577086280056577,67.55304101838755
5001,0.594059405940594,4.1867043847241865,16.52050919377652,64.15841584158416
6001,0.2545968882602546,1.5841584158415842,6.789250353606789,42.800565770862804
7001,1.188118811881188,4.9504950495049505,16.775106082036775,60.82036775106082
8001,1.3578500707213579,6.4497878359264496,21.272984441301272,68.65629420084866
9001,1.0183875530410185,5.4314002828854315,21.782178217821784,67.07213578500708
10001,1.4144271570014144,7.751060820367751,23.84724186704385,72.33380480905234
11001,0.9900990099009901,6.251768033946251,20.82036775106082,66.33663366336634
12001,2.0084865629420086,10.551626591230551,28.28854314002829,75.92644978783592
13001,1.2446958981612446,6.025459688826025,18.84016973125884,60.93352192362094
14001,1.3578500707213579,8.175388967468175,25.12022630834512,72.41867043847242
15001,1.5841584158415842,6.732673267326732,20.707213578500706,55.24752475247525
16001,2.6025459688826027,11.4002828854314,29.844413012729845,71.11739745403112
17001,2.432814710042433,11.683168316831683,29.957567185289957,75.78500707213578
18001,1.8953323903818953,10.042432814710043,25.940594059405942,67.07213578500708
19001,2.0933521923620932,10.74964639321075,31.08910891089109,76.03960396039604
20001,2.0084865629420086,9.052333804809052,23.903818953323903,63.33804809052334
21001,2.14992927864215,8.939179632248939,24.639321074964638,65.62942008486563
22001,2.489391796322489,12.956152758132957,32.98444130127299,76.0961810466761
23001,2.545968882602546,13.267326732673267,32.8995756718529,74.25742574257426
24001,3.14002828854314,13.38048090523338,31.117397454031117,66.13861386138613
25001,4.526166902404526,15.247524752475247,34.08769448373409,73.06930693069307
26001,4.809052333804809,16.01131541725601,38.75530410183875,79.8019801980198
27001,4.073550212164074,16.435643564356436,38.86845827439887,76.63366336633663
28001,3.818953323903819,14.71004243281471,34.93635077793493,75.3889674681754
29001,2.9137199434229135,14.398868458274398,36.54879773691655,78.61386138613861
30001,2.4611032531824613,11.145685997171146,27.80763790664781,65.03536067892503
31001,3.9886845827439887,14.596888260254596,33.2956152758133,65.65770862800566
32001,4.073550212164074,15.21923620933522,35.02121640735502,70.66478076379066
33001,4.073550212164074,17.05799151343706,37.99151343705799,74.03111739745403
34001,4.073550212164074,17.65205091937765,38.981612446958984,69.78783592644979
35001,4.667609618104668,14.936350777934937,33.49363507779349,72.27722772277228
36001,4.356435643564357,15.756718528995757,37.28429985855728,71.54172560113155
37001,3.338048090523338,14.992927864214993,33.15417256011315,63.366336633663366
38001,4.497878359264498,16.237623762376238,35.67185289957567,65.62942008486563
39001,4.978783592644978,19.00990099009901,40.79207920792079,74.68175388967468
40001,4.2998585572843,17.85007072135785,40.113154172560115,73.6916548797737
41001,4.2998585572843,17.793493635077795,38.47241867043847,74.51202263083451
42001,4.073550212164074,16.973125884016973,37.93493635077793,71.14568599717114
43001,4.045261669024045,16.237623762376238,36.605374823196605,66.05374823196605
44001,4.893917963224894,19.88684582743989,41.86704384724187,76.88826025459689
45001,4.158415841584159,17.68033946251768,40.99009900990099,74.05940594059406
46001,5.205091937765205,20.31117397454031,44.13012729844413,73.38048090523338
47001,5.148514851485149,20.876944837340876,44.61103253182461,78.13295615275813
48001,4.9504950495049505,18.444130127298443,39.94342291371994,72.05091937765205
49001,5.176803394625177,21.61244695898161,43.53606789250354,77.14285714285714
50001,4.101838755304102,19.207920792079207,42.14992927864215,72.95615275813296
